IDENTIFIER,Entrez Gene,,,,,,,,,,,,,,,,,,,,,
HECA,51696,,,,,,,,,,,,,,,,,,,,,
LEMD3,23592,,,,,,,,,,,,,,,,,,,,,
TFB2M,64216,,,,,,,,,,,,,,,,,,,,,
ZDHHC7,55625,,,,,,,,,,,,,,,,,,,,,
SDAD1,55153,,,,,,,,,,,,,,,,,,,,,
ATP13A2,23400,,,,,,,,,,,,,,,,,,,,,
NUDT2,318,,,,,,,,,,,,,,,,,,,,,
CPPED1,55313,,,,,,,,,,,,,,,,,,,,,
IER5,51278,,,,,,,,,,,,,,,,,,,,,
TSSC4,10078,,,,,,,,,,,,,,,,,,,,,
PSD3,23362,,,,,,,,,,,,,,,,,,,,,
KIAA1551,55196,,,,,,,,,,,,,,,,,,,,,
TMEM39A,55254,,,,,,,,,,,,,,,,,,,,,
INTS12,57117,,,,,,,,,,,,,,,,,,,,,
TRIT1,54802,,,,,,,,,,,,,,,,,,,,,
LOC101928615,64778,,,,,,,,,,,,,,,,,,,,,
SUV39H1,6839,,,,,,,,,,,,,,,,,,,,,
HEMK1,51409,,,,,,,,,,,,,,,,,,,,,
HEMK1,51409,,,,,,,,,,,,,,,,,,,,,
NUP37,79023,,,,,,,,,,,,,,,,,,,,,
HMP19,51617,,,,,,,,,,,,,,,,,,,,,
CENPBD1P1,65996,,,,,,,,,,,,,,,,,,,,,
NRN1,51299,,,,,,,,,,,,,,,,,,,,,
EIF4ENIF1,56478,,,,,,,,,,,,,,,,,,,,,
DRAM1,55332,,,,,,,,,,,,,,,,,,,,,
CCDC53,51019,,,,,,,,,,,,,,,,,,,,,
SMO,6608,,,,,,,,,,,,,,,,,,,,,
MKS1,54903,,,,,,,,,,,,,,,,,,,,,
AVPI1,60370,,,,,,,,,,,,,,,,,,,,,
HECTD3,79654,,,,,,,,,,,,,,,,,,,,,
ABHD10,55347,,,,,,,,,,,,,,,,,,,,,
PHLDA3,23612,,,,,,,,,,,,,,,,,,,,,
MAN1B1,11253,,,,,,,,,,,,,,,,,,,,,
IMPACT,55364,,,,,,,,,,,,,,,,,,,,,
LOC100130872,10417,100130872,,,,,,,,,,,,,,,,,,,,
ZXDC,79364,,,,,,,,,,,,,,,,,,,,,
PLEKHF2,79666,,,,,,,,,,,,,,,,,,,,,
C11orf95,65998,,,,,,,,,,,,,,,,,,,,,
CHCHD7,79145,,,,,,,,,,,,,,,,,,,,,
CRIPT,9419,,,,,,,,,,,,,,,,,,,,,
PLEK2,26499,,,,,,,,,,,,,,,,,,,,,
ZNF277,11179,,,,,,,,,,,,,,,,,,,,,
HPF1,54969,,,,,,,,,,,,,,,,,,,,,
YRDC,79693,,,,,,,,,,,,,,,,,,,,,
CRTC3,64784,,,,,,,,,,,,,,,,,,,,,
NEMF,9147,,,,,,,,,,,,,,,,,,,,,
MIR1306,54487,100302197,,,,,,,,,,,,,,,,,,,,
LARP6,55323,,,,,,,,,,,,,,,,,,,,,
PIGG,54872,,,,,,,,,,,,,,,,,,,,,
SLC25A15,10166,,,,,,,,,,,,,,,,,,,,,
MRPS33,51650,,,,,,,,,,,,,,,,,,,,,
CWC25,54883,,,,,,,,,,,,,,,,,,,,,
LHFP,10186,,,,,,,,,,,,,,,,,,,,,
RAPGEFL1,51195,,,,,,,,,,,,,,,,,,,,,
ACTR8,93973,,,,,,,,,,,,,,,,,,,,,
ASXL2,55252,,,,,,,,,,,,,,,,,,,,,
DYSF,8291,,,,,,,,,,,,,,,,,,,,,
NAA60,79903,,,,,,,,,,,,,,,,,,,,,
NCAPG,64151,,,,,,,,,,,,,,,,,,,,,
NCAPG,64151,,,,,,,,,,,,,,,,,,,,,
MECR,51102,,,,,,,,,,,,,,,,,,,,,
FZD4,8322,,,,,,,,,,,,,,,,,,,,,
STX17,55014,,,,,,,,,,,,,,,,,,,,,
PJA1,64219,,,,,,,,,,,,,,,,,,,,,
RAP2C,57826,,,,,,,,,,,,,,,,,,,,,
RAP2C,57826,,,,,,,,,,,,,,,,,,,,,
PUS1,80324,,,,,,,,,,,,,,,,,,,,,
ATPIF1,93974,,,,,,,,,,,,,,,,,,,,,
TNFAIP8L2-SCNM1,79005,100534012,,,,,,,,,,,,,,,,,,,,
ATG7,10533,,,,,,,,,,,,,,,,,,,,,
TRAPPC13,80006,,,,,,,,,,,,,,,,,,,,,
SLC22A17,51310,,,,,,,,,,,,,,,,,,,,,
PCTP,58488,,,,,,,,,,,,,,,,,,,,,
S100A14,57402,,,,,,,,,,,,,,,,,,,,,
NES,10763,,,,,,,,,,,,,,,,,,,,,
VPS28,51160,,,,,,,,,,,,,,,,,,,,,
SERF2-C15ORF63,25764,,,,,,,,,,,,,,,,,,,,,
SDF2L1,23753,,,,,,,,,,,,,,,,,,,,,
SLC4A1AP,22950,,,,,,,,,,,,,,,,,,,,,
PTBP2,58155,,,,,,,,,,,,,,,,,,,,,
LRRC8D,55144,,,,,,,,,,,,,,,,,,,,,
SMUG1,23583,,,,,,,,,,,,,,,,,,,,,
RHBDF1,64285,,,,,,,,,,,,,,,,,,,,,
MUC13,56667,,,,,,,,,,,,,,,,,,,,,
TKFC,26007,,,,,,,,,,,,,,,,,,,,,
FANCF,2188,,,,,,,,,,,,,,,,,,,,,
PDLIM4,8572,,,,,,,,,,,,,,,,,,,,,
PDLIM4,8572,,,,,,,,,,,,,,,,,,,,,
SYBU,55638,,,,,,,,,,,,,,,,,,,,,
TSPAN15,23555,,,,,,,,,,,,,,,,,,,,,
ARMCX1,51309,,,,,,,,,,,,,,,,,,,,,
EXOSC4,54512,,,,,,,,,,,,,,,,,,,,,
EIF2AK3,9451,,,,,,,,,,,,,,,,,,,,,
NCKIPSD,51517,,,,,,,,,,,,,,,,,,,,,
APIP,51074,,,,,,,,,,,,,,,,,,,,,
RAB29,8934,,,,,,,,,,,,,,,,,,,,,
RAB29,8934,,,,,,,,,,,,,,,,,,,,,
LACTB2,51110,,,,,,,,,,,,,,,,,,,,,
SARS2,54938,,,,,,,,,,,,,,,,,,,,,
SEC22A,26984,,,,,,,,,,,,,,,,,,,,,
RNF43,54894,,,,,,,,,,,,,,,,,,,,,
SNX24,28966,,,,,,,,,,,,,,,,,,,,,
GRAMD3,65983,,,,,,,,,,,,,,,,,,,,,
ZNF444,55311,,,,,,,,,,,,,,,,,,,,,
NXT1,29107,,,,,,,,,,,,,,,,,,,,,
IFT52,51098,,,,,,,,,,,,,,,,,,,,,
TTC27,55622,,,,,,,,,,,,,,,,,,,,,
SDPR,8436,,,,,,,,,,,,,,,,,,,,,
C1orf109,54955,,,,,,,,,,,,,,,,,,,,,
ICE2,79664,,,,,,,,,,,,,,,,,,,,,
PRR14,78994,,,,,,,,,,,,,,,,,,,,,
UTP6,55813,,,,,,,,,,,,,,,,,,,,,
MTO1,25821,,,,,,,,,,,,,,,,,,,,,
P3H2,55214,,,,,,,,,,,,,,,,,,,,,
PDGFC,56034,,,,,,,,,,,,,,,,,,,,,
GINS3,64785,,,,,,,,,,,,,,,,,,,,,
SEZ6L2,26470,,,,,,,,,,,,,,,,,,,,,
C1orf27,54953,,,,,,,,,,,,,,,,,,,,,
CCDC51,79714,,,,,,,,,,,,,,,,,,,,,
RGCC,28984,,,,,,,,,,,,,,,,,,,,,
TGIF2,60436,,,,,,,,,,,,,,,,,,,,,
SLC25A22,79751,,,,,,,,,,,,,,,,,,,,,
HJURP,55355,,,,,,,,,,,,,,,,,,,,,
SLC38A7,55238,,,,,,,,,,,,,,,,,,,,,
CNIH4,29097,,,,,,,,,,,,,,,,,,,,,
LXN,56925,,,,,,,,,,,,,,,,,,,,,
OGN,4969,,,,,,,,,,,,,,,,,,,,,
VWA1,64856,,,,,,,,,,,,,,,,,,,,,
PTRH2,51651,,,,,,,,,,,,,,,,,,,,,
MSL2,55167,,,,,,,,,,,,,,,,,,,,,
NAA40,79829,,,,,,,,,,,,,,,,,,,,,
ZNF544,27300,,,,,,,,,,,,,,,,,,,,,
PALMD,54873,,,,,,,,,,,,,,,,,,,,,
SBNO1,55206,,,,,,,,,,,,,,,,,,,,,
RNF138,51444,,,,,,,,,,,,,,,,,,,,,
ABHD5,51099,,,,,,,,,,,,,,,,,,,,,
CDK5RAP3,80279,,,,,,,,,,,,,,,,,,,,,
CENPM,79019,,,,,,,,,,,,,,,,,,,,,
NARFL,64428,,,,,,,,,,,,,,,,,,,,,
CHMP6,79643,,,,,,,,,,,,,,,,,,,,,
PACSIN3,29763,,,,,,,,,,,,,,,,,,,,,
TMEM161A,54929,,,,,,,,,,,,,,,,,,,,,
TAPBPL,55080,,,,,,,,,,,,,,,,,,,,,
TAPBPL,55080,,,,,,,,,,,,,,,,,,,,,
EXOC5,10640,,,,,,,,,,,,,,,,,,,,,
SLC8B1,80024,,,,,,,,,,,,,,,,,,,,,
TAF1D,79101,,,,,,,,,,,,,,,,,,,,,
FBXW7,55294,,,,,,,,,,,,,,,,,,,,,
ZMAT5,55954,,,,,,,,,,,,,,,,,,,,,
XKR8,55113,,,,,,,,,,,,,,,,,,,,,
NOL9,79707,,,,,,,,,,,,,,,,,,,,,
KIF20A,10112,,,,,,,,,,,,,,,,,,,,,
DHRS11,79154,,,,,,,,,,,,,,,,,,,,,
UPF3B,65109,,,,,,,,,,,,,,,,,,,,,
RRP1,8568,,,,,,,,,,,,,,,,,,,,,
DVL2,1856,,,,,,,,,,,,,,,,,,,,,
COQ6,51004,,,,,,,,,,,,,,,,,,,,,
RNF111,54778,,,,,,,,,,,,,,,,,,,,,
ZNF574,64763,,,,,,,,,,,,,,,,,,,,,
STX18,53407,,,,,,,,,,,,,,,,,,,,,
PRKCH,5583,,,,,,,,,,,,,,,,,,,,,
SIDT2,51092,,,,,,,,,,,,,,,,,,,,,
WARS2,10352,,,,,,,,,,,,,,,,,,,,,
REXO4,57109,,,,,,,,,,,,,,,,,,,,,
NUP107,57122,,,,,,,,,,,,,,,,,,,,,
ANKRA2,57763,,,,,,,,,,,,,,,,,,,,,
TMEM39B,55116,,,,,,,,,,,,,,,,,,,,,
PANK4,55229,,,,,,,,,,,,,,,,,,,,,
TMEM38B,55151,,,,,,,,,,,,,,,,,,,,,
MSRB2,22921,,,,,,,,,,,,,,,,,,,,,
DCPS,28960,,,,,,,,,,,,,,,,,,,,,
WWC2,53842,80014,,,,,,,,,,,,,,,,,,,,
TMEM62,80021,,,,,,,,,,,,,,,,,,,,,
REEP4,80346,,,,,,,,,,,,,,,,,,,,,
EPS8L1,54869,,,,,,,,,,,,,,,,,,,,,
EPS8L1,54869,,,,,,,,,,,,,,,,,,,,,
HOOK2,29911,,,,,,,,,,,,,,,,,,,,,
SMC6,79677,,,,,,,,,,,,,,,,,,,,,
ATAD2,29028,,,,,,,,,,,,,,,,,,,,,
INTS7,25896,,,,,,,,,,,,,,,,,,,,,
SAYSD1,55776,,,,,,,,,,,,,,,,,,,,,
IFT22,64792,,,,,,,,,,,,,,,,,,,,,
NT5DC3,51559,,,,,,,,,,,,,,,,,,,,,
CWF19L1,55280,,,,,,,,,,,,,,,,,,,,,
SMYD3,64754,,,,,,,,,,,,,,,,,,,,,
C11orf71,54494,,,,,,,,,,,,,,,,,,,,,
TMLHE,55217,,,,,,,,,,,,,,,,,,,,,
KATNBL1,79768,,,,,,,,,,,,,,,,,,,,,
BSPRY,54836,,,,,,,,,,,,,,,,,,,,,
SCML1,6322,,,,,,,,,,,,,,,,,,,,,
TXNL4B,54957,,,,,,,,,,,,,,,,,,,,,
ACP6,51205,,,,,,,,,,,,,,,,,,,,,
FERMT1,55612,,,,,,,,,,,,,,,,,,,,,
SIRT7,51547,,,,,,,,,,,,,,,,,,,,,
KRI1,65095,,,,,,,,,,,,,,,,,,,,,
GPN2,54707,,,,,,,,,,,,,,,,,,,,,
SRD5A3,79644,,,,,,,,,,,,,,,,,,,,,
UGGT2,55757,,,,,,,,,,,,,,,,,,,,,
MCUB,55013,,,,,,,,,,,,,,,,,,,,,
CHFR,55743,,,,,,,,,,,,,,,,,,,,,
ANO1,55107,,,,,,,,,,,,,,,,,,,,,
GIMAP1-GIMAP5,55340,100527949,,,,,,,,,,,,,,,,,,,,
VAV3,10451,,,,,,,,,,,,,,,,,,,,,
VAV3,10451,,,,,,,,,,,,,,,,,,,,,
DALRD3,55152,,,,,,,,,,,,,,,,,,,,,
PANK2,80025,,,,,,,,,,,,,,,,,,,,,
MIR6732,80149,,,,,,,,,,,,,,,,,,,,,
ORAI2,80228,,,,,,,,,,,,,,,,,,,,,
ORAI2,80228,,,,,,,,,,,,,,,,,,,,,
SH3GLB2,56904,,,,,,,,,,,,,,,,,,,,,
TMEM206,55248,,,,,,,,,,,,,,,,,,,,,
TMEM51,55092,,,,,,,,,,,,,,,,,,,,,
LRRC1,55227,,,,,,,,,,,,,,,,,,,,,
SPCS3,60559,,,,,,,,,,,,,,,,,,,,,
FHL3,2275,,,,,,,,,,,,,,,,,,,,,
INTS6,26512,,,,,,,,,,,,,,,,,,,,,
C14orf132,56967,,,,,,,,,,,,,,,,,,,,,
LOC100652930,79716,100534593,100652930,,,,,,,,,,,,,,,,,,,
LOC100652930,79716,100534593,100652930,,,,,,,,,,,,,,,,,,,
KCTD9,54793,,,,,,,,,,,,,,,,,,,,,
PNMAL1,55228,,,,,,,,,,,,,,,,,,,,,
EGFL7,51162,,,,,,,,,,,,,,,,,,,,,
SLC35F2,54733,,,,,,,,,,,,,,,,,,,,,
CEP192,55125,,,,,,,,,,,,,,,,,,,,,
TMEM256-PLSCR3,57048,100529211,,,,,,,,,,,,,,,,,,,,
CHD7,55636,,,,,,,,,,,,,,,,,,,,,
RPL26L1,51121,,,,,,,,,,,,,,,,,,,,,
FCGRT,2217,,,,,,,,,,,,,,,,,,,,,
ARRB1,408,,,,,,,,,,,,,,,,,,,,,
ZAK,51776,,,,,,,,,,,,,,,,,,,,,
TMEM132A,54972,,,,,,,,,,,,,,,,,,,,,
SFTPA2,729238,,,,,,,,,,,,,,,,,,,,,
TRIM39-RPP21,56658,79897,202658,,,,,,,,,,,,,,,,,,,
UBE2D4,51619,,,,,,,,,,,,,,,,,,,,,
TTC31,64427,,,,,,,,,,,,,,,,,,,,,
HEY1,23462,,,,,,,,,,,,,,,,,,,,,
NADSYN1,55191,,,,,,,,,,,,,,,,,,,,,
ASB8,140461,,,,,,,,,,,,,,,,,,,,,
RPAP3,79657,,,,,,,,,,,,,,,,,,,,,
FNDC4,64838,,,,,,,,,,,,,,,,,,,,,
ACSF2,80221,,,,,,,,,,,,,,,,,,,,,
DUSP22,56940,,,,,,,,,,,,,,,,,,,,,
MED23,9439,,,,,,,,,,,,,,,,,,,,,
IGF2BP2,10644,,,,,,,,,,,,,,,,,,,,,
THOC6,79228,,,,,,,,,,,,,,,,,,,,,
PPP1R13L,10848,,,,,,,,,,,,,,,,,,,,,
LIMD1,8994,,,,,,,,,,,,,,,,,,,,,
SFT2D3,55339,84826,,,,,,,,,,,,,,,,,,,,
PPP2R3C,55012,,,,,,,,,,,,,,,,,,,,,
MOSPD1,56180,,,,,,,,,,,,,,,,,,,,,
DSE,29940,,,,,,,,,,,,,,,,,,,,,
TPRA1,131601,,,,,,,,,,,,,,,,,,,,,
TNFRSF21,27242,,,,,,,,,,,,,,,,,,,,,
ASRGL1,80150,,,,,,,,,,,,,,,,,,,,,
DEPTOR,64798,,,,,,,,,,,,,,,,,,,,,
ESF1,51575,,,,,,,,,,,,,,,,,,,,,
NOC4L,79050,,,,,,,,,,,,,,,,,,,,,
RNF25,64320,,,,,,,,,,,,,,,,,,,,,
ASB13,79754,,,,,,,,,,,,,,,,,,,,,
TNS1,7145,,,,,,,,,,,,,,,,,,,,,
TNS1,7145,,,,,,,,,,,,,,,,,,,,,
1-Mar,64757,,,,,,,,,,,,,,,,,,,,,
POLR3K,51728,,,,,,,,,,,,,,,,,,,,,
C12orf49,79794,,,,,,,,,,,,,,,,,,,,,
ACTR3B,57180,,,,,,,,,,,,,,,,,,,,,
MLYCD,23417,,,,,,,,,,,,,,,,,,,,,
LOC101928361,55843,,,,,,,,,,,,,,,,,,,,,
CSGALNACT2,55454,,,,,,,,,,,,,,,,,,,,,
TESC,54997,,,,,,,,,,,,,,,,,,,,,
GON4L,54856,,,,,,,,,,,,,,,,,,,,,
ATAT1,79969,,,,,,,,,,,,,,,,,,,,,
FBXO5,26271,,,,,,,,,,,,,,,,,,,,,
TPPP3,51673,,,,,,,,,,,,,,,,,,,,,
TRMT11,60487,,,,,,,,,,,,,,,,,,,,,
SIRT1,23411,,,,,,,,,,,,,,,,,,,,,
MTHFSD,64779,,,,,,,,,,,,,,,,,,,,,
FOSL2,2355,,,,,,,,,,,,,,,,,,,,,
FOSL2,2355,,,,,,,,,,,,,,,,,,,,,
WDR3,10885,,,,,,,,,,,,,,,,,,,,,
CENPU,79682,,,,,,,,,,,,,,,,,,,,,
GUF1,60558,,,,,,,,,,,,,,,,,,,,,
GALNT12,79695,,,,,,,,,,,,,,,,,,,,,
PAK1IP1,55003,,,,,,,,,,,,,,,,,,,,,
MRPL2,51069,,,,,,,,,,,,,,,,,,,,,
NETO2,81831,,,,,,,,,,,,,,,,,,,,,
NOC3L,64318,,,,,,,,,,,,,,,,,,,,,
MRPL35,51318,,,,,,,,,,,,,,,,,,,,,
C10orf76,79591,,,,,,,,,,,,,,,,,,,,,
DCHS1,8642,,,,,,,,,,,,,,,,,,,,,
ISOC2,79763,,,,,,,,,,,,,,,,,,,,,
MAGOHB,55110,,,,,,,,,,,,,,,,,,,,,
GPATCH3,63906,,,,,,,,,,,,,,,,,,,,,
NCBP3,55421,,,,,,,,,,,,,,,,,,,,,
TMEM177,80775,,,,,,,,,,,,,,,,,,,,,
FAM57A,79850,,,,,,,,,,,,,,,,,,,,,
BAALC,79870,,,,,,,,,,,,,,,,,,,,,
CNNM4,26504,,,,,,,,,,,,,,,,,,,,,
PLSCR4,57088,,,,,,,,,,,,,,,,,,,,,
NOTCH1,4851,,,,,,,,,,,,,,,,,,,,,
NABP2,79035,,,,,,,,,,,,,,,,,,,,,
C9orf40,55071,,,,,,,,,,,,,,,,,,,,,
INTS8,55656,,,,,,,,,,,,,,,,,,,,,
KLC2,64837,,,,,,,,,,,,,,,,,,,,,
LRRC61,65999,,,,,,,,,,,,,,,,,,,,,
ASPSCR1,79058,,,,,,,,,,,,,,,,,,,,,
RPS6KC1,26750,,,,,,,,,,,,,,,,,,,,,
ANO10,55129,,,,,,,,,,,,,,,,,,,,,
YEATS4,8089,,,,,,,,,,,,,,,,,,,,,
GCC1,79571,,,,,,,,,,,,,,,,,,,,,
GMIP,51291,,,,,,,,,,,,,,,,,,,,,
RRNAD1,51093,,,,,,,,,,,,,,,,,,,,,
NF2,4771,,,,,,,,,,,,,,,,,,,,,
ZNF768,79724,,,,,,,,,,,,,,,,,,,,,
ARID1A,8289,,,,,,,,,,,,,,,,,,,,,
MAN1C1,57134,,,,,,,,,,,,,,,,,,,,,
ZFAND1,79752,,,,,,,,,,,,,,,,,,,,,
FAM193B,54540,,,,,,,,,,,,,,,,,,,,,
SIGIRR,59307,,,,,,,,,,,,,,,,,,,,,
CERS4,79603,,,,,,,,,,,,,,,,,,,,,
CTBS,1486,,,,,,,,,,,,,,,,,,,,,
CTBS,1486,,,,,,,,,,,,,,,,,,,,,
C11orf1,64776,,,,,,,,,,,,,,,,,,,,,
MYNN,55892,,,,,,,,,,,,,,,,,,,,,
CHST12,55501,,,,,,,,,,,,,,,,,,,,,
SLC37A1,54020,,,,,,,,,,,,,,,,,,,,,
CDKN2AIP,55602,,,,,,,,,,,,,,,,,,,,,
TMEM106B,54664,,,,,,,,,,,,,,,,,,,,,
RAB17,64284,,,,,,,,,,,,,,,,,,,,,
ZNHIT6,54680,,,,,,,,,,,,,,,,,,,,,
SPATA5L1,79029,,,,,,,,,,,,,,,,,,,,,
HSPB7,27129,,,,,,,,,,,,,,,,,,,,,
EHD3,30845,,,,,,,,,,,,,,,,,,,,,
CCDC59,29080,,,,,,,,,,,,,,,,,,,,,
ZSCAN32,54925,,,,,,,,,,,,,,,,,,,,,
FBXL15,79176,,,,,,,,,,,,,,,,,,,,,
LETM1,3954,,,,,,,,,,,,,,,,,,,,,
VCPKMT,79609,,,,,,,,,,,,,,,,,,,,,
FBXW2,26190,,,,,,,,,,,,,,,,,,,,,
PIP4K2C,79837,,,,,,,,,,,,,,,,,,,,,
DDX58,23586,,,,,,,,,,,,,,,,,,,,,
PYCRL,65263,,,,,,,,,,,,,,,,,,,,,
METTL22,79091,,,,,,,,,,,,,,,,,,,,,
NFU1,27247,,,,,,,,,,,,,,,,,,,,,
MTPAP,55149,,,,,,,,,,,,,,,,,,,,,
QRSL1,55278,,,,,,,,,,,,,,,,,,,,,
QRSL1,55278,,,,,,,,,,,,,,,,,,,,,
ARAP3,64411,,,,,,,,,,,,,,,,,,,,,
PLCXD1,55344,,,,,,,,,,,,,,,,,,,,,
PCSK1N,27344,,,,,,,,,,,,,,,,,,,,,
PCYOX1L,78991,,,,,,,,,,,,,,,,,,,,,
BRF2,55290,,,,,,,,,,,,,,,,,,,,,
BRF2,55290,,,,,,,,,,,,,,,,,,,,,
ATP5J2-PTCD1,26024,100526740,,,,,,,,,,,,,,,,,,,,
PAAF1,80227,,,,,,,,,,,,,,,,,,,,,
C19orf60,55049,,,,,,,,,,,,,,,,,,,,,
HOXC10,3226,,,,,,,,,,,,,,,,,,,,,
TMPRSS4,56649,,,,,,,,,,,,,,,,,,,,,
PNKP,11284,,,,,,,,,,,,,,,,,,,,,
TMEM168,64418,,,,,,,,,,,,,,,,,,,,,
KRT23,25984,,,,,,,,,,,,,,,,,,,,,
ARID3B,10620,,,,,,,,,,,,,,,,,,,,,
TUT1,64852,,,,,,,,,,,,,,,,,,,,,
MYO5C,55930,,,,,,,,,,,,,,,,,,,,,
PTER,9317,,,,,,,,,,,,,,,,,,,,,
ZFP64,55734,,,,,,,,,,,,,,,,,,,,,
PAM16,51025,,,,,,,,,,,,,,,,,,,,,
CUTC,51076,,,,,,,,,,,,,,,,,,,,,
WDR91,29062,,,,,,,,,,,,,,,,,,,,,
TTC17,55761,,,,,,,,,,,,,,,,,,,,,
EFL1,79631,,,,,,,,,,,,,,,,,,,,,
SOBP,55084,,,,,,,,,,,,,,,,,,,,,
COL5A3,50509,,,,,,,,,,,,,,,,,,,,,
DNAJC12,56521,,,,,,,,,,,,,,,,,,,,,
TRNAU1AP,54952,,,,,,,,,,,,,,,,,,,,,
SLC25A37,51312,,,,,,,,,,,,,,,,,,,,,
RMI1,80010,,,,,,,,,,,,,,,,,,,,,
FHOD3,80206,,,,,,,,,,,,,,,,,,,,,
SDHAF3,57001,,,,,,,,,,,,,,,,,,,,,
MRPS17,51373,,,,,,,,,,,,,,,,,,,,,
C1RL,51279,,,,,,,,,,,,,,,,,,,,,
PUS7,54517,,,,,,,,,,,,,,,,,,,,,
SLC2A8,29988,,,,,,,,,,,,,,,,,,,,,
DDX60,55601,,,,,,,,,,,,,,,,,,,,,
ATF7IP,55729,,,,,,,,,,,,,,,,,,,,,
SLC35E3,55508,,,,,,,,,,,,,,,,,,,,,
SLC30A5,64924,,,,,,,,,,,,,,,,,,,,,
SPRR3,6707,,,,,,,,,,,,,,,,,,,,,
HEATR6,63897,,,,,,,,,,,,,,,,,,,,,
PLGRKT,55848,,,,,,,,,,,,,,,,,,,,,
MRM3,55178,,,,,,,,,,,,,,,,,,,,,
STAG3L4,64940,,,,,,,,,,,,,,,,,,,,,
EDN1,1906,,,,,,,,,,,,,,,,,,,,,
TFPT,29844,,,,,,,,,,,,,,,,,,,,,
POLR1E,64425,,,,,,,,,,,,,,,,,,,,,
FAM206A,54942,,,,,,,,,,,,,,,,,,,,,
TMEM140,55281,,,,,,,,,,,,,,,,,,,,,
DSCC1,79075,,,,,,,,,,,,,,,,,,,,,
DCAF10,79269,,,,,,,,,,,,,,,,,,,,,
FASTKD1,79675,,,,,,,,,,,,,,,,,,,,,
MANEA,79694,,,,,,,,,,,,,,,,,,,,,
MIS18A,54069,,,,,,,,,,,,,,,,,,,,,
TMEM59L,25789,,,,,,,,,,,,,,,,,,,,,
NDUFAF4,29078,,,,,,,,,,,,,,,,,,,,,
NUP43,348995,,,,,,,,,,,,,,,,,,,,,
LDAH,60526,,,,,,,,,,,,,,,,,,,,,
C14orf93,60686,,,,,,,,,,,,,,,,,,,,,
C1orf106,55765,,,,,,,,,,,,,,,,,,,,,
PLEKHA4,57664,,,,,,,,,,,,,,,,,,,,,
EMSY,56946,,,,,,,,,,,,,,,,,,,,,
GALNT11,63917,,,,,,,,,,,,,,,,,,,,,
PLAC8,51316,,,,,,,,,,,,,,,,,,,,,
ALG13,79868,,,,,,,,,,,,,,,,,,,,,
FASTKD5,60493,,,,,,,,,,,,,,,,,,,,,
ETNK1,55500,,,,,,,,,,,,,,,,,,,,,
CCDC85C,317762,,,,,,,,,,,,,,,,,,,,,
PIDD1,55367,,,,,,,,,,,,,,,,,,,,,
HS1BP3,64342,,,,,,,,,,,,,,,,,,,,,
RNF121,55298,,,,,,,,,,,,,,,,,,,,,
C12orf43,64897,,,,,,,,,,,,,,,,,,,,,
AP1AR,55435,,,,,,,,,,,,,,,,,,,,,
PLEKHA1,59338,,,,,,,,,,,,,,,,,,,,,
CD248,57124,,,,,,,,,,,,,,,,,,,,,
RASAL2,9462,,,,,,,,,,,,,,,,,,,,,
MYO9A,4649,,,,,,,,,,,,,,,,,,,,,
HIPK2,28996,,,,,,,,,,,,,,,,,,,,,
TMEM267,64417,,,,,,,,,,,,,,,,,,,,,
TPRKB,51002,,,,,,,,,,,,,,,,,,,,,
NIP7,51388,,,,,,,,,,,,,,,,,,,,,
OPN3,23596,,,,,,,,,,,,,,,,,,,,,
PARP8,79668,,,,,,,,,,,,,,,,,,,,,
PARP16,54956,,,,,,,,,,,,,,,,,,,,,
RNF34,80196,,,,,,,,,,,,,,,,,,,,,
CEP70,80321,,,,,,,,,,,,,,,,,,,,,
RRP15,51018,,,,,,,,,,,,,,,,,,,,,
MORC4,79710,,,,,,,,,,,,,,,,,,,,,
SEMA4C,54910,,,,,,,,,,,,,,,,,,,,,
CORO7,79585,,,,,,,,,,,,,,,,,,,,,
REPIN1,29803,,,,,,,,,,,,,,,,,,,,,
LZTS1,11178,,,,,,,,,,,,,,,,,,,,,
PDCL3P4,79031,285359,,,,,,,,,,,,,,,,,,,,
THNSL2,55258,,,,,,,,,,,,,,,,,,,,,
RHOF,54509,,,,,,,,,,,,,,,,,,,,,
PKNOX2,63876,,,,,,,,,,,,,,,,,,,,,
ZNF668,79759,,,,,,,,,,,,,,,,,,,,,
PIGN,23556,,,,,,,,,,,,,,,,,,,,,
CSGALNACT1,55790,,,,,,,,,,,,,,,,,,,,,
ZNHIT2,741,,,,,,,,,,,,,,,,,,,,,
METRN,79006,,,,,,,,,,,,,,,,,,,,,
HPS6,79803,,,,,,,,,,,,,,,,,,,,,
VPS37C,55048,,,,,,,,,,,,,,,,,,,,,
NPR3,4883,,,,,,,,,,,,,,,,,,,,,
SRBD1,55133,,,,,,,,,,,,,,,,,,,,,
RNASEH2B,79621,,,,,,,,,,,,,,,,,,,,,
RABEP2,79874,,,,,,,,,,,,,,,,,,,,,
TINAGL1,64129,,,,,,,,,,,,,,,,,,,,,
LYVE1,10894,,,,,,,,,,,,,,,,,,,,,
WDYHV1,55093,,,,,,,,,,,,,,,,,,,,,
LAGE3,8270,,,,,,,,,,,,,,,,,,,,,
ZCCHC2,54877,,,,,,,,,,,,,,,,,,,,,
C1orf35,79169,,,,,,,,,,,,,,,,,,,,,
ITIH5,80760,,,,,,,,,,,,,,,,,,,,,
DPY30,51072,84661,,,,,,,,,,,,,,,,,,,,
PPCDC,60490,,,,,,,,,,,,,,,,,,,,,
